Time [s], Analyzer Name, Decoded Protocol Result
0.057126600000000,USB LS and FS,PID SOF
0.057127280000000,USB LS and FS,Frame # 0x506
0.057128200000000,USB LS and FS,CRC OK 0x03
0.057128640000000,USB LS and FS,EOP
0.058126000000000,USB LS and FS,SYNC
0.058126640000000,USB LS and FS,PID SOF
0.058127320000000,USB LS and FS,Frame # 0x507
0.058128240000000,USB LS and FS,CRC OK 0x1C
0.058128680000000,USB LS and FS,EOP
0.059126040000000,USB LS and FS,SYNC
0.059126680000000,USB LS and FS,PID SOF
0.059127360000000,USB LS and FS,Frame # 0x508
0.059128280000000,USB LS and FS,CRC OK 0x1D
0.059128720000000,USB LS and FS,EOP
0.060126080000000,USB LS and FS,SYNC
0.060126720000000,USB LS and FS,PID SOF
0.060127400000000,USB LS and FS,Frame # 0x509
0.060128320000000,USB LS and FS,CRC OK 0x02
0.060128760000000,USB LS and FS,EOP
0.061126120000000,USB LS and FS,SYNC
0.061126800000000,USB LS and FS,PID SOF
0.061127480000000,USB LS and FS,Frame # 0x50A
0.061128400000000,USB LS and FS,CRC OK 0x0A
0.061128800000000,USB LS and FS,EOP
0.062126160000000,USB LS and FS,SYNC
0.062126840000000,USB LS and FS,PID SOF
0.062127520000000,USB LS and FS,Frame # 0x50B
0.062128400000000,USB LS and FS,CRC OK 0x15
0.062128840000000,USB LS and FS,EOP
0.063126200000000,USB LS and FS,SYNC
0.063126880000000,USB LS and FS,PID SOF
0.063127560000000,USB LS and FS,Frame # 0x50C
0.063128480000000,USB LS and FS,CRC OK 0x1A
0.063128880000000,USB LS and FS,EOP
0.064126240000000,USB LS and FS,SYNC
0.064126920000000,USB LS and FS,PID SOF
0.064127600000000,USB LS and FS,Frame # 0x50D
0.064128520000000,USB LS and FS,CRC OK 0x05
0.064128920000000,USB LS and FS,EOP
0.065126320000000,USB LS and FS,SYNC
0.065126960000000,USB LS and FS,PID SOF
0.065127640000000,USB LS and FS,Frame # 0x50E
0.065128560000000,USB LS and FS,CRC OK 0x0D
0.065129000000000,USB LS and FS,EOP
0.066126360000000,USB LS and FS,SYNC
0.066127000000000,USB LS and FS,PID SOF
0.066127680000000,USB LS and FS,Frame # 0x50F
0.066128600000000,USB LS and FS,CRC OK 0x12
0.066129040000000,USB LS and FS,EOP
0.067126400000000,USB LS and FS,SYNC
0.067127080000000,USB LS and FS,PID SOF
0.067127720000000,USB LS and FS,Frame # 0x510
0.067128640000000,USB LS and FS,CRC OK 0x0F
0.067129080000000,USB LS and FS,EOP
0.068126440000000,USB LS and FS,SYNC
0.068127120000000,USB LS and FS,PID SOF
0.068127760000000,USB LS and FS,Frame # 0x511
0.068128680000000,USB LS and FS,CRC OK 0x10
0.068129120000000,USB LS and FS,EOP
0.069126480000000,USB LS and FS,SYNC
0.069127160000000,USB LS and FS,PID SOF
0.069127800000000,USB LS and FS,Frame # 0x512
0.069128720000000,USB LS and FS,CRC OK 0x18
0.069129160000000,USB LS and FS,EOP
0.070126560000000,USB LS and FS,SYNC
0.070127200000000,USB LS and FS,PID SOF
