Time [s], Analyzer Name, Decoded Protocol Result,,,,,,
5.17182232,USB LS and FS,SYNC,,,,,,
5.17182296,USB LS and FS,PID SOF,,,,,,
5.17182364,USB LS and FS,Frame # '640' (0x280),,,,,,
5.17182456,USB LS and FS,CRC OK '30' (0x1E),,,,,,
5.17182496,USB LS and FS,EOP,,,,,,
5.17282236,USB LS and FS,SYNC,,,,,,
5.172823,USB LS and FS,PID SOF,,,,,,
5.17282368,USB LS and FS,Frame # '641' (0x281),,,,,,
5.1728246,USB LS and FS,CRC OK '1' (0x01),,,,,,
5.172825,USB LS and FS,EOP,,,,,,
5.1738224,USB LS and FS,SYNC,,,,,,
5.17382308,USB LS and FS,PID SOF,,,,,,
5.17382372,USB LS and FS,Frame # '642' (0x282),,,,,,
5.17382464,USB LS and FS,CRC OK \t (0x09),,,,,,
5.17382508,USB LS and FS,EOP,,,,,,
5.17482244,USB LS and FS,SYNC,,,,,,
5.17482312,USB LS and FS,PID SOF,,,,,,
5.17482376,USB LS and FS,Frame # '643' (0x283),,,,,,
5.17482468,USB LS and FS,CRC OK '22' (0x16),,,,,,
5.17482512,USB LS and FS,EOP,,,,,,
5.17582248,USB LS and FS,SYNC,,,,,,
5.17582316,USB LS and FS,PID SOF,,,,,,
5.17582384,USB LS and FS,Frame # '644' (0x284),,,,,,
5.17582472,USB LS and FS,CRC OK '25' (0x19),,,,,,
5.17582516,USB LS and FS,EOP,,,,,,
5.17682252,USB LS and FS,SYNC,,,,,,
5.1768232,USB LS and FS,PID SOF,,,,,,
5.17682384,USB LS and FS,Frame # '645' (0x285),,,,,,
5.1768248,USB LS and FS,CRC OK '6' (0x06),,,,,,
5.1768252,USB LS and FS,EOP,,,,,,
5.1778226,USB LS and FS,SYNC,,,,,,
5.17782324,USB LS and FS,PID SOF,,,,,,
5.17782392,USB LS and FS,Frame # '646' (0x286),,,,,,
5.17782484,USB LS and FS,CRC OK '14' (0x0E),,,,,,
5.17782528,USB LS and FS,EOP,,,,,,
5.17882264,USB LS and FS,SYNC,,,,,,
5.17882328,USB LS and FS,PID SOF,,,,,,
5.17882396,USB LS and FS,Frame # '647' (0x287),,,,,,
5.17882488,USB LS and FS,CRC OK '17' (0x11),,,,,,
5.17882532,USB LS and FS,EOP,,,,,,
5.17982268,USB LS and FS,SYNC,,,,,,
5.17982332,USB LS and FS,PID SOF,,,,,,
5.179824,USB LS and FS,Frame # '648' (0x288),,,,,,
5.17982492,USB LS and FS,CRC OK '16' (0x10),,,,,,
5.17982536,USB LS and FS,EOP,,,,,,
5.18082272,USB LS and FS,SYNC,,,,,,
5.18082336,USB LS and FS,PID SOF,,,,,,
5.18082404,USB LS and FS,Frame # '649' (0x289),,,,,,
5.18082496,USB LS and FS,CRC OK '15' (0x0F),,,,,,
5.1808254,USB LS and FS,EOP,,,,,,
5.1818228,USB LS and FS,SYNC,,,,,,
5.18182344,USB LS and FS,PID SOF,,,,,,
5.18182412,USB LS and FS,Frame # '650' (0x28A),,,,,,
5.18182504,USB LS and FS,CRC OK '7' (0x07),,,,,,
5.18182548,USB LS and FS,EOP,,,,,,
5.1828228,USB LS and FS,SYNC,,,,,,
5.18282348,USB LS and FS,PID SOF,,,,,,
5.18282412,USB LS and FS,Frame # '651' (0x28B),,,,,,
5.18282508,USB LS and FS,CRC OK '24' (0x18),,,,,,
5.18282548,USB LS and FS,EOP,,,,,,
5.18382284,USB LS and FS,SYNC,,,,,,
5.18382352,USB LS and FS,PID SOF,,,,,,
5.1838242,USB LS and FS,Frame # '652' (0x28C),,,,,,
5.18382512,USB LS and FS,CRC OK '23' (0x17),,,,,,
5.18382552,USB LS and FS,EOP,,,,,,
5.18482288,USB LS and FS,SYNC,,,,,,
5.18482356,USB LS and FS,PID SOF,,,,,,
5.18482424,USB LS and FS,Frame # '653' (0x28D),,,,,,
5.18482516,USB LS and FS,CRC OK '8' (0x08),,,,,,
5.18482556,USB LS and FS,EOP,,,,,,
5.18582292,USB LS and FS,SYNC,,,,,,
5.1858236,USB LS and FS,PID SOF,,,,,,
5.18582428,USB LS and FS,Frame # '654' (0x28E),,,,,,
5.1858252,USB LS and FS,CRC OK '0' (0x00),,,,,,
5.1858256,USB LS and FS,EOP,,,,,,
5.186823,USB LS and FS,SYNC,,,,,,
5.18682364,USB LS and FS,PID SOF,,,,,,
5.18682432,USB LS and FS,Frame # '655' (0x28F),,,,,,
5.18682524,USB LS and FS,CRC OK '31' (0x1F),,,,,,
5.18682568,USB LS and FS,EOP,,,,,,
5.18782304,USB LS and FS,SYNC,,,,,,
5.18782368,USB LS and FS,PID SOF,,,,,,
5.18782436,USB LS and FS,Frame # '656' (0x290),,,,,,
5.18782528,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.18782572,USB LS and FS,EOP,,,,,,
5.18882308,USB LS and FS,SYNC,,,,,,
5.18882372,USB LS and FS,PID SOF,,,,,,
5.1888244,USB LS and FS,Frame # '657' (0x291),,,,,,
5.18882532,USB LS and FS,CRC OK '29' (0x1D),,,,,,
5.18882576,USB LS and FS,EOP,,,,,,
5.18982312,USB LS and FS,SYNC,,,,,,
5.1898238,USB LS and FS,PID SOF,,,,,,
5.18982444,USB LS and FS,Frame # '658' (0x292),,,,,,
5.18982536,USB LS and FS,CRC OK '21' (0x15),,,,,,
5.1898258,USB LS and FS,EOP,,,,,,
5.1908232,USB LS and FS,SYNC,,,,,,
5.19082384,USB LS and FS,PID SOF,,,,,,
5.19082452,USB LS and FS,Frame # '659' (0x293),,,,,,
5.19082544,USB LS and FS,CRC OK \n (0x0A),,,,,,
5.19082584,USB LS and FS,EOP,,,,,,
5.19182324,USB LS and FS,SYNC,,,,,,
5.19182388,USB LS and FS,PID SOF,,,,,,
5.19182456,USB LS and FS,Frame # '660' (0x294),,,,,,
5.19182548,USB LS and FS,CRC OK '5' (0x05),,,,,,
5.19182588,USB LS and FS,EOP,,,,,,
5.19282328,USB LS and FS,SYNC,,,,,,
5.19282392,USB LS and FS,PID SOF,,,,,,
5.1928246,USB LS and FS,Frame # '661' (0x295),,,,,,
5.19282552,USB LS and FS,CRC OK '26' (0x1A),,,,,,
5.19282592,USB LS and FS,EOP,,,,,,
5.19382332,USB LS and FS,SYNC,,,,,,
5.19382396,USB LS and FS,PID SOF,,,,,,
5.19382464,USB LS and FS,Frame # '662' (0x296),,,,,,
5.19382556,USB LS and FS,CRC OK '18' (0x12),,,,,,
5.19382596,USB LS and FS,EOP,,,,,,
5.19482336,USB LS and FS,SYNC,,,,,,
5.19482404,USB LS and FS,PID SOF,,,,,,
5.19482468,USB LS and FS,Frame # '663' (0x297),,,,,,
5.1948256,USB LS and FS,CRC OK \r (0x0D),,,,,,
5.19482604,USB LS and FS,EOP,,,,,,
5.1958234,USB LS and FS,SYNC,,,,,,
5.19582408,USB LS and FS,PID SOF,,,,,,
5.19582472,USB LS and FS,Frame # '664' (0x298),,,,,,
5.19582564,USB LS and FS,CRC OK '12' (0x0C),,,,,,
5.19582608,USB LS and FS,EOP,,,,,,
5.19682344,USB LS and FS,SYNC,,,,,,
5.19682412,USB LS and FS,PID SOF,,,,,,
5.19682476,USB LS and FS,Frame # '665' (0x299),,,,,,
5.19682568,USB LS and FS,CRC OK '19' (0x13),,,,,,
5.19682612,USB LS and FS,EOP,,,,,,
5.19782348,USB LS and FS,SYNC,,,,,,
5.19782416,USB LS and FS,PID SOF,,,,,,
5.19782484,USB LS and FS,Frame # '666' (0x29A),,,,,,
5.19782572,USB LS and FS,CRC OK '27' (0x1B),,,,,,
5.19782616,USB LS and FS,EOP,,,,,,
5.19882352,USB LS and FS,SYNC,,,,,,
5.1988242,USB LS and FS,PID SOF,,,,,,
5.19882484,USB LS and FS,Frame # '667' (0x29B),,,,,,
5.19882576,USB LS and FS,CRC OK '4' (0x04),,,,,,
5.1988262,USB LS and FS,EOP,,,,,,
5.1998236,USB LS and FS,SYNC,,,,,,
5.19982424,USB LS and FS,PID SOF,,,,,,
5.19982492,USB LS and FS,Frame # '668' (0x29C),,,,,,
5.19982584,USB LS and FS,CRC OK '11' (0x0B),,,,,,
5.19982624,USB LS and FS,EOP,,,,,,
5.20082364,USB LS and FS,SYNC,,,,,,
5.20082428,USB LS and FS,PID SOF,,,,,,
5.20082496,USB LS and FS,Frame # '669' (0x29D),,,,,,
5.20082588,USB LS and FS,CRC OK '20' (0x14),,,,,,
5.20082632,USB LS and FS,EOP,,,,,,
5.20182368,USB LS and FS,SYNC,,,,,,
5.20182432,USB LS and FS,PID SOF,,,,,,
5.201825,USB LS and FS,Frame # '670' (0x29E),,,,,,
5.20182592,USB LS and FS,CRC OK '28' (0x1C),,,,,,
5.20182636,USB LS and FS,EOP,,,,,,
5.20282372,USB LS and FS,SYNC,,,,,,
5.20282436,USB LS and FS,PID SOF,,,,,,
5.20282504,USB LS and FS,Frame # '671' (0x29F),,,,,,
5.20282604,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.20282648,USB LS and FS,EOP,,,,,,
5.20382376,USB LS and FS,SYNC,,,,,,
5.20382444,USB LS and FS,PID SOF,,,,,,
5.20382512,USB LS and FS,Frame # '672' (0x2A0),,,,,,
5.203826,USB LS and FS,CRC OK '15' (0x0F),,,,,,
5.20382644,USB LS and FS,EOP,,,,,,
5.2048238,USB LS and FS,SYNC,,,,,,
5.20482448,USB LS and FS,PID SOF,,,,,,
5.20482512,USB LS and FS,Frame # '673' (0x2A1),,,,,,
5.20482608,USB LS and FS,CRC OK '16' (0x10),,,,,,
5.20482648,USB LS and FS,EOP,,,,,,
5.20582384,USB LS and FS,SYNC,,,,,,
5.20582452,USB LS and FS,PID SOF,,,,,,
5.2058252,USB LS and FS,Frame # '674' (0x2A2),,,,,,
5.20582612,USB LS and FS,CRC OK '24' (0x18),,,,,,
5.20582652,USB LS and FS,EOP,,,,,,
5.20682388,USB LS and FS,SYNC,,,,,,
5.20682456,USB LS and FS,PID SOF,,,,,,
5.20682524,USB LS and FS,Frame # '675' (0x2A3),,,,,,
5.20682616,USB LS and FS,CRC OK '7' (0x07),,,,,,
5.20682656,USB LS and FS,EOP,,,,,,
5.20782396,USB LS and FS,SYNC,,,,,,
5.2078246,USB LS and FS,PID SOF,,,,,,
5.20782528,USB LS and FS,Frame # '676' (0x2A4),,,,,,
5.2078262,USB LS and FS,CRC OK '8' (0x08),,,,,,
5.20782664,USB LS and FS,EOP,,,,,,
5.208824,USB LS and FS,SYNC,,,,,,
5.20882464,USB LS and FS,PID SOF,,,,,,
5.20882532,USB LS and FS,Frame # '677' (0x2A5),,,,,,
5.20882624,USB LS and FS,CRC OK '23' (0x17),,,,,,
5.20882668,USB LS and FS,EOP,,,,,,
5.20982404,USB LS and FS,SYNC,,,,,,
5.20982468,USB LS and FS,PID SOF,,,,,,
5.20982536,USB LS and FS,Frame # '678' (0x2A6),,,,,,
5.20982628,USB LS and FS,CRC OK '31' (0x1F),,,,,,
5.20982672,USB LS and FS,EOP,,,,,,
5.21082408,USB LS and FS,SYNC,,,,,,
5.21082476,USB LS and FS,PID SOF,,,,,,
5.2108254,USB LS and FS,Frame # '679' (0x2A7),,,,,,
5.21082632,USB LS and FS,CRC OK '0' (0x00),,,,,,
5.21082676,USB LS and FS,EOP,,,,,,
5.21182412,USB LS and FS,SYNC,,,,,,
5.2118248,USB LS and FS,PID SOF,,,,,,
5.21182544,USB LS and FS,Frame # '680' (0x2A8),,,,,,
5.21182636,USB LS and FS,CRC OK '1' (0x01),,,,,,
5.2118268,USB LS and FS,EOP,,,,,,
5.2128242,USB LS and FS,SYNC,,,,,,
5.21282484,USB LS and FS,PID SOF,,,,,,
5.21282552,USB LS and FS,Frame # '681' (0x2A9),,,,,,
5.21282644,USB LS and FS,CRC OK '30' (0x1E),,,,,,
5.21282684,USB LS and FS,EOP,,,,,,
5.21382424,USB LS and FS,SYNC,,,,,,
5.21382488,USB LS and FS,PID SOF,,,,,,
5.21382556,USB LS and FS,Frame # '682' (0x2AA),,,,,,
5.21382648,USB LS and FS,CRC OK '22' (0x16),,,,,,
5.21382688,USB LS and FS,EOP,,,,,,
5.21482428,USB LS and FS,SYNC,,,,,,
5.21482492,USB LS and FS,PID SOF,,,,,,
5.2148256,USB LS and FS,Frame # '683' (0x2AB),,,,,,
5.21482652,USB LS and FS,CRC OK \t (0x09),,,,,,
5.21482692,USB LS and FS,EOP,,,,,,
5.21582432,USB LS and FS,SYNC,,,,,,
5.21582496,USB LS and FS,PID SOF,,,,,,
5.21582564,USB LS and FS,Frame # '684' (0x2AC),,,,,,
5.21582656,USB LS and FS,CRC OK '6' (0x06),,,,,,
5.21582696,USB LS and FS,EOP,,,,,,
5.21682436,USB LS and FS,SYNC,,,,,,
5.21682504,USB LS and FS,PID SOF,,,,,,
5.21682568,USB LS and FS,Frame # '685' (0x2AD),,,,,,
5.2168266,USB LS and FS,CRC OK '25' (0x19),,,,,,
5.21682704,USB LS and FS,EOP,,,,,,
5.2178244,USB LS and FS,SYNC,,,,,,
5.21782508,USB LS and FS,PID SOF,,,,,,
5.21782572,USB LS and FS,Frame # '686' (0x2AE),,,,,,
5.21782664,USB LS and FS,CRC OK '17' (0x11),,,,,,
5.21782708,USB LS and FS,EOP,,,,,,
5.21882444,USB LS and FS,SYNC,,,,,,
5.21882512,USB LS and FS,PID SOF,,,,,,
5.21882576,USB LS and FS,Frame # '687' (0x2AF),,,,,,
5.21882668,USB LS and FS,CRC OK '14' (0x0E),,,,,,
5.21882712,USB LS and FS,EOP,,,,,,
5.21982448,USB LS and FS,SYNC,,,,,,
5.21982516,USB LS and FS,PID SOF,,,,,,
5.21982584,USB LS and FS,Frame # '688' (0x2B0),,,,,,
5.21982672,USB LS and FS,CRC OK '19' (0x13),,,,,,
5.21982716,USB LS and FS,EOP,,,,,,
5.22082456,USB LS and FS,SYNC,,,,,,
5.2208252,USB LS and FS,PID SOF,,,,,,
5.22082588,USB LS and FS,Frame # '689' (0x2B1),,,,,,
5.2208268,USB LS and FS,CRC OK '12' (0x0C),,,,,,
5.2208272,USB LS and FS,EOP,,,,,,
5.2218246,USB LS and FS,SYNC,,,,,,
5.22182524,USB LS and FS,PID SOF,,,,,,
5.22182592,USB LS and FS,Frame # '690' (0x2B2),,,,,,
5.22182684,USB LS and FS,CRC OK '4' (0x04),,,,,,
5.22182724,USB LS and FS,EOP,,,,,,
5.22282464,USB LS and FS,SYNC,,,,,,
5.22282528,USB LS and FS,PID SOF,,,,,,
5.22282596,USB LS and FS,Frame # '691' (0x2B3),,,,,,
5.22282688,USB LS and FS,CRC OK '27' (0x1B),,,,,,
5.22282732,USB LS and FS,EOP,,,,,,
5.22382468,USB LS and FS,SYNC,,,,,,
5.22382532,USB LS and FS,PID SOF,,,,,,
5.223826,USB LS and FS,Frame # '692' (0x2B4),,,,,,
5.22382692,USB LS and FS,CRC OK '20' (0x14),,,,,,
5.22382736,USB LS and FS,EOP,,,,,,
5.22482472,USB LS and FS,SYNC,,,,,,
5.2248254,USB LS and FS,PID SOF,,,,,,
5.22482604,USB LS and FS,Frame # '693' (0x2B5),,,,,,
5.22482696,USB LS and FS,CRC OK '11' (0x0B),,,,,,
5.2248274,USB LS and FS,EOP,,,,,,
5.22582476,USB LS and FS,SYNC,,,,,,
5.22582544,USB LS and FS,PID SOF,,,,,,
5.22582612,USB LS and FS,Frame # '694' (0x2B6),,,,,,
5.225827,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.22582744,USB LS and FS,EOP,,,,,,
5.2268248,USB LS and FS,SYNC,,,,,,
5.22682548,USB LS and FS,PID SOF,,,,,,
5.22682612,USB LS and FS,Frame # '695' (0x2B7),,,,,,
5.22682708,USB LS and FS,CRC OK '28' (0x1C),,,,,,
5.22682748,USB LS and FS,EOP,,,,,,
5.2273384,USB LS and FS,SYNC,,,,,,
5.22733908,USB LS and FS,PID SETUP,,,,,,
5.22733972,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00),,,,,,
5.22734064,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.22734108,USB LS and FS,EOP,,,,,,
5.2273418,USB LS and FS,SYNC,,,,,,
5.22734248,USB LS and FS,PID DATA0,,,,,,
5.22734316,USB LS and FS,Byte '128' (0x80),,,,,,
5.2273438,USB LS and FS,Byte '6' (0x06),,,,,,
5.22734448,USB LS and FS,Byte '0' (0x00),,,,,,
5.22734516,USB LS and FS,Byte '1' (0x01),,,,,,
5.2273458,USB LS and FS,Byte '0' (0x00),,,,,,
5.22734648,USB LS and FS,Byte '0' (0x00),,,,,,
5.22734716,USB LS and FS,Byte @ (0x40),,,,,,
5.2273478,USB LS and FS,Byte '0' (0x00),,,,,,
5.22734848,USB LS and FS,CRC OK '38109' (0x94DD),,,,,,
5.22734984,USB LS and FS,EOP,,,,,,
5.22735044,USB LS and FS,SYNC,,,,,,
5.22735112,USB LS and FS,PID ACK,,,,,,
5.2273518,USB LS and FS,EOP,,,,,,
5.22748496,USB LS and FS,SYNC,,,,,,
5.2274856,USB LS and FS,PID IN,,,,,,
5.22748628,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00),,,,,,
5.2274872,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.22748764,USB LS and FS,EOP,,,,,,
5.2274882,USB LS and FS,SYNC,,,,,,
5.22748888,USB LS and FS,PID NAK,,,,,,
5.22748956,USB LS and FS,EOP,,,,,,
5.22782484,USB LS and FS,SYNC,,,,,,
5.22782552,USB LS and FS,PID SOF,,,,,,
5.2278262,USB LS and FS,Frame # '696' (0x2B8),,,,,,
5.22782712,USB LS and FS,CRC OK '29' (0x1D),,,,,,
5.22782752,USB LS and FS,EOP,,,,,,
5.22871656,USB LS and FS,SYNC,,,,,,
5.2287172,USB LS and FS,PID IN,,,,,,
5.22871788,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00),,,,,,
5.2287188,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.22871924,USB LS and FS,EOP,,,,,,
5.22871984,USB LS and FS,SYNC,,,,,,
5.22872048,USB LS and FS,PID DATA1,,,,,,
5.22872116,USB LS and FS,Byte '18' (0x12),,,,,,
5.22872184,USB LS and FS,Byte '1' (0x01),,,,,,
5.22872248,USB LS and FS,Byte '0' (0x00),,,,,,
5.22872316,USB LS and FS,Byte '2' (0x02),,,,,,
5.22872384,USB LS and FS,Byte '0' (0x00),,,,,,
5.22872448,USB LS and FS,Byte '0' (0x00),,,,,,
5.22872516,USB LS and FS,Byte '0' (0x00),,,,,,
5.22872584,USB LS and FS,Byte '8' (0x08),,,,,,
5.22872648,USB LS and FS,CRC OK '59223' (0xE757),,,,,,
5.22872784,USB LS and FS,EOP,,,,,,
5.22872864,USB LS and FS,SYNC,,,,,,
5.22872928,USB LS and FS,PID ACK,,,,,,
5.22872996,USB LS and FS,EOP,,,,,,
5.22882488,USB LS and FS,SYNC,,,,,,
5.22882556,USB LS and FS,PID SOF,,,,,,
5.22882624,USB LS and FS,Frame # '697' (0x2B9),,,,,,
5.22882716,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.22882756,USB LS and FS,EOP,,,,,,
5.2288572,USB LS and FS,SYNC,,,,,,
5.22885788,USB LS and FS,PID OUT,,,,,,
5.22885856,USB LS and FS,Address='0' (0x00) Endpoint='0' (0x00),,,,,,
5.22885948,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.22885988,USB LS and FS,EOP,,,,,,
5.22886064,USB LS and FS,SYNC,,,,,,
