Time[s], D+, D-
6.211407480000000, 0, 1
6.211407560000000, 1, 0
6.211407640000000, 0, 1
6.211407800000000, 1, 0
6.211407880000000, 0, 1
6.211407960000000, 1, 1
6.211408000000000, 1, 0
6.211408160000000, 0, 1
6.211408640000000, 1, 0
6.211408720000001, 0, 0
6.211408880000000, 1, 0
6.212406120000000, 0, 1
6.212406200000000, 1, 0
6.212406280000000, 0, 1
6.212406360000000, 1, 0
6.212406440000001, 0, 1
6.212406520000000, 1, 0
6.212406600000000, 0, 1
6.212406840000000, 1, 0
6.212407000000000, 1, 1
6.212407040000000, 0, 1
6.212407120000000, 1, 0
6.212407280000000, 0, 1
6.212407520000000, 1, 0
6.212407600000000, 0, 1
6.212407680000000, 1, 0
6.212407840000000, 0, 1
6.212407920000000, 1, 1
6.212407960000000, 1, 0
6.212408000000000, 1, 1
6.212408040000000, 0, 1
6.212408200000000, 1, 0
6.212408360000000, 0, 1
6.212408440000000, 1, 0
6.212408520000000, 0, 1
6.212408600000000, 1, 0
6.212408760000000, 0, 0
6.212408920000001, 1, 0
6.213406160000000, 0, 1
6.213406240000000, 1, 0
6.213406320000000, 0, 1
6.213406400000000, 1, 0
6.213406480000000, 0, 1
6.213406560000000, 1, 0
6.213406640000001, 0, 1
6.213406880000000, 1, 0
6.213407080000001, 0, 1
6.213407160000000, 1, 0
6.213407320000000, 0, 1
6.213407480000000, 1, 0
6.213407640000000, 0, 1
6.213407720000000, 1, 0
6.213407880000000, 0, 1
6.213407960000001, 1, 1
6.213408000000000, 1, 0
6.213408080000000, 0, 1
6.213408240000000, 1, 0
6.213408400000000, 0, 1
6.213408480000000, 1, 0
6.213408560000000, 0, 1
6.213408800000000, 0, 0
6.213409000000000, 1, 0
6.214406200000000, 0, 1
6.214406280000000, 1, 0
6.214406360000000, 0, 1
6.214406440000000, 1, 0
6.214406520000000, 0, 1
6.214406600000000, 1, 0
6.214406680000000, 0, 1
6.214406920000000, 1, 0
6.214407120000000, 0, 1
6.214407200000000, 1, 0
6.214407360000000, 0, 1
6.214407680000000, 1, 0
6.214407760000000, 0, 1
6.214407920000000, 1, 1
6.214407960000000, 1, 0
6.214408000000000, 1, 1
6.214408040000000, 0, 1
6.214408120000000, 1, 0
6.214408280000000, 0, 1
6.214408680000000, 1, 0
6.214408760000000, 0, 1
6.214408880000000, 0, 0
6.214409040000000, 1, 0
6.215406240000000, 0, 1
6.215406320000000, 1, 0
6.215406400000000, 0, 1
6.215406480000000, 1, 0
6.215406560000000, 0, 1
6.215406640000000, 1, 0
6.215406720000000, 0, 1
6.215406960000000, 1, 1
6.215407000000000, 1, 0
6.215407160000000, 0, 1
6.215407240000000, 1, 0
6.215407400000000, 0, 1
6.215407560000000, 1, 0
6.215407640000000, 0, 1
6.215407800000000, 1, 0
6.215407960000000, 1, 1
6.215408000000000, 0, 1
6.215408080000000, 1, 0
6.215408160000000, 0, 1
6.215408320000000, 1, 0
6.215408480000000, 0, 1
6.215408560000000, 1, 0
6.215408640000000, 0, 1
6.215408800000001, 1, 0
6.215408920000000, 0, 0
6.215409080000000, 1, 0
6.216406280000000, 0, 1
6.216406360000000, 1, 0
6.216406440000000, 0, 1
6.216406520000000, 1, 0
6.216406600000000, 1, 1
6.216406640000000, 0, 1
6.216406720000000, 1, 0
6.216406800000001, 0, 1
6.216407040000000, 1, 0
6.216407200000000, 0, 1
6.216407280000000, 1, 0
6.216407440000000, 0, 1
6.216407720000000, 1, 0
6.216407880000000, 0, 1
6.216408040000000, 1, 0
6.216408120000001, 0, 1
6.216408200000000, 1, 0
6.216408360000000, 0, 1
6.216408800000000, 1, 0
6.216408960000000, 0, 0
6.216409120000000, 1, 0
6.217406320000000, 0, 1
