Time [s],Byte
7.843406312500000,0xB3
7.853404875000000,0x88
7.853405437500000,0xA5
7.853406125000000,0x47
7.853406750000000,0x4B
7.868405562500000,0x88
7.868406125000000,0xA5
7.868406812500000,0x56
7.868407437500000,0x53
7.874405812500000,0x88
7.874406375000000,0xA5
7.874407062500000,0x5C
7.874407687500000,0x9B
7.889406500000000,0x88
7.889407062500000,0xA5
7.889407750000000,0x6B
7.889408375000000,0x8B
7.892406625000000,0x88
7.892407187500000,0xA5
7.892407875000000,0x6E
7.892408500000000,0x4B
7.899406937500000,0x88
7.899407500000000,0xA5
7.899408187500000,0x75
7.899408812500000,0x9B
7.903407125000000,0x88
7.903407687500000,0xA5
7.903408375000000,0x79
7.903409000000000,0xD3
7.907407312500000,0x88
7.907407875000000,0xA5
7.907408562500000,0x7D
7.907409187500000,0xEB
7.946409062500000,0x88
7.946409625000000,0xA5
7.946410312500000,0xA4
7.946411000000000,0x6B
7.952409312500000,0x88
7.952409875000000,0xA5
7.952410562500000,0xAA
7.952411250000000,0x9B
7.981410625000000,0x88
7.981411187500000,0xA5
7.981411875000000,0xC7
7.981412500000000,0xFB
8.020412374999999,0x88
8.020412937500000,0xA5
8.020413625000000,0xEE
8.020414250000000,0xFB
8.027412687500000,0x88
8.027413250000000,0xA5
8.027413937500000,0xF5
8.027414625000000,0x2B
8.035413062500000,0x88
8.035413625000000,0xA5
8.035414312500000,0xFD
8.035415000000000,0x5B
8.333426437500000,0x88
8.333427000000000,0xA5
8.333427687500000,0x27
8.333428312500001,0x6D
8.362427750000000,0x88
8.362428312500001,0xA5
8.362429000000001,0x44
8.362429625000001,0xFD
8.365427875000000,0x88
8.365428437500000,0xA5
8.365429125000000,0x47
8.365429750000001,0xBD
8.383428687500000,0x88
8.383429250000001,0xA5
8.383429937500001,0x59
8.383430562499999,0xAD
8.386428812500000,0x88
8.386429375000001,0xA5
8.386430062500001,0x5C
8.386430687500001,0x6D
8.387428874999999,0x88
8.387429437500000,0xA5
8.387430125000000,0x5D
8.387430750000000,0x95
8.395429249999999,0x88
8.395429812500000,0xA5
8.395430500000000,0x65
8.395431125000000,0x8D
8.401429500000001,0x88
8.401430062499999,0xA5
8.401430749999999,0x6B
8.401431375000000,0x7D
8.411429937499999,0x88
8.411430500000000,0xA5
8.411431187500000,0x75
8.411431812500000,0x6D
8.461432187500000,0x88
8.461432750000000,0xA5
8.461433437500000,0xA7
8.461434125000000,0xDD
8.465432375000001,0x88
8.465432937499999,0xA5
8.465433624999999,0xAB
8.465434312499999,0x95
8.529435250000001,0x88
8.529435812499999,0xA5
8.529436499999999,0xEB
8.529437124999999,0xCD
8.539435687499999,0x88
8.539436250000000,0xA5
8.539436937500000,0xF5
8.539437625000000,0xDD
8.540435750000000,0x88
8.540436312500001,0xA5
8.540437000000001,0xF6
8.540437687500001,0x9D
8.548436125000000,0x88
8.548436687500001,0xA5
8.548437375000001,0xFE
8.548438125000001,0xED
8.582437625000001,0x88
8.582438187499999,0xA5
8.582438874999999,0x48
8.582439437500000,0xBC
8.593438125000000,0x88
8.593438687500001,0xA5
8.593439375000001,0x2B
8.593439999999999,0x5E
8.629439750000000,0x88
8.629440312500000,0xA5
8.629441000000000,0x4F
8.629441625000000,0xB6
8.639440187500000,0x88
8.639440750000000,0xA5
8.639441437500000,0x59
8.639442062500001,0xD6
8.668441500000000,0x88
8.668442062500000,0xA5
8.668442750000001,0x76
8.668443375000001,0x56
8.671441625000000,0x88
8.671442187500000,0xA5
8.671442875000000,0x79
8.671443500000001,0x5E
8.732444375000000,0x88
8.732444937500000,0xA5
8.732445625000000,0xB6
8.732446250000001,0xBE
8.765445874999999,0x88
8.765446437500000,0xA5
8.765447125000000,0xD7
8.765447750000000,0x96
8.771446125000001,0x88
8.771446687499999,0xA5
8.771447374999999,0xDD
8.771447999999999,0x5E
8.778446437500000,0x88
8.778447000000000,0xA5
8.778447687500000,0xE4
8.778448312500000,0xBE
8.782446625000000,0x88
8.782447187500001,0xA5
8.782447875000001,0xE8
8.782448499999999,0xF6
8.785446750000000,0x88
8.785447312500001,0xA5
8.785448000000001,0xEB
8.785448625000001,0xB6
8.842449312499999,0x88
8.842449875000000,0xA5
8.842450562500000,0x24
8.842451187500000,0x7F
8.852449750000000,0x88
8.852450312500000,0xA5
8.852451000000000,0x2E
8.852451625000000,0xB7
8.866450374999999,0x88
8.866450937500000,0xA5
8.866451625000000,0x3C
8.866452250000000,0xEF
