14.99637864,USB LS and FS,SYNC,Get Device Configuration,,,14.99773908,USB LS and FS,SYNC,1st 8 Bytes of Device Configuration,,,14.99950528,USB LS and FS,PID DATA0,,,,15.00084988,USB LS and FS,PID DATA1,
14.99637928,USB LS and FS,PID DATA0,,,,14.99773972,USB LS and FS,PID DATA1,,,,14.99950596,USB LS and FS,Byte 0x80,,,,15.00085056,USB LS and FS,Byte 0x09,
14.99637996,USB LS and FS,Byte 0x80,,,,14.9977404,USB LS and FS,Byte 0x09,,,,14.99950664,USB LS and FS,Byte 0x06,,,,15.00085124,USB LS and FS,Byte 0x02,
14.99638064,USB LS and FS,Byte 0x06,,,,14.99774108,USB LS and FS,Byte 0x02,,,,14.99950728,USB LS and FS,Byte 0x00,,,,15.00085188,USB LS and FS,Byte 0x22,
14.99638128,USB LS and FS,Byte 0x00,,,,14.99774172,USB LS and FS,Byte 0x22,,,,14.99950796,USB LS and FS,Byte 0x02,,,,15.00085256,USB LS and FS,Byte 0x00,
14.99638196,USB LS and FS,Byte 0x02,,,,14.9977424,USB LS and FS,Byte 0x00,,,,14.99950864,USB LS and FS,Byte 0x00,,,,15.0008532,USB LS and FS,Byte 0x01,
14.99638264,USB LS and FS,Byte 0x00,,,,14.99774308,USB LS and FS,Byte 0x01,,,,14.99950928,USB LS and FS,Byte 0x00,,,,15.00085388,USB LS and FS,Byte 0x01,
14.99638328,USB LS and FS,Byte 0x00,,,,14.99774372,USB LS and FS,Byte 0x01,,,,14.99950996,USB LS and FS,Byte 0x22,,,,15.00085456,USB LS and FS,Byte 0x00,
14.99638396,USB LS and FS,Byte 0x09,,,,14.9977444,USB LS and FS,Byte 0x00,,,,14.99951064,USB LS and FS,Byte 0x00,,,,15.00085524,USB LS and FS,Byte 0xC0,
14.99638464,USB LS and FS,Byte 0x00,,,,14.99774508,USB LS and FS,Byte 0xC0,,,,14.99951128,USB LS and FS,CRC OK 0xF4B0,,,,15.00085588,USB LS and FS,CRC OK 0xB00A,
14.99638528,USB LS and FS,CRC OK 0x04AE,,,,14.99774572,USB LS and FS,CRC OK 0xB00A,,,,14.99951264,USB LS and FS,EOP,,,,15.00085724,USB LS and FS,EOP,
14.99638664,USB LS and FS,EOP,,,,14.99774708,USB LS and FS,EOP,,,,14.99951328,USB LS and FS,SYNC,,,,15.00085804,USB LS and FS,SYNC,
14.9963872,USB LS and FS,SYNC,,,,14.99774788,USB LS and FS,SYNC,,,,14.99951392,USB LS and FS,PID ACK,,,,15.00085872,USB LS and FS,PID ACK,
14.99638788,USB LS and FS,PID ACK,,,,14.99774856,USB LS and FS,PID ACK,,,,14.9995146,USB LS and FS,EOP,,,,15.0008594,USB LS and FS,EOP,
14.99638856,USB LS and FS,EOP,,,,14.99774924,USB LS and FS,EOP,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
15.00221612,USB LS and FS,SYNC,,,,15.00358992,USB LS and FS,SYNC,,,,15.00496632,USB LS and FS,SYNC,,,,15.00634872,USB LS and FS,SYNC,
15.00221676,USB LS and FS,PID IN,,,,15.0035906,USB LS and FS,PID IN,,,,15.00496696,USB LS and FS,PID IN,,,,15.00634936,USB LS and FS,PID IN,
15.00221744,USB LS and FS,Address=0x13 Endpoint=0x00,,,,15.00359128,USB LS and FS,Address=0x13 Endpoint=0x00,,,,15.00496764,USB LS and FS,Address=0x13 Endpoint=0x00,,,,15.00635004,USB LS and FS,Address=0x13 Endpoint=0x00,
15.00221836,USB LS and FS,CRC OK 0x16,,,,15.0035922,USB LS and FS,CRC OK 0x16,,,,15.00496856,USB LS and FS,CRC OK 0x16,,,,15.00635096,USB LS and FS,CRC OK 0x16,
15.0022188,USB LS and FS,EOP,,,,15.0035926,USB LS and FS,EOP,,,,15.004969,USB LS and FS,EOP,,,,15.00635136,USB LS and FS,EOP,
15.00221944,USB LS and FS,SYNC,,,,15.0035932,USB LS and FS,SYNC,,,,15.0049696,USB LS and FS,SYNC,,,,15.00635196,USB LS and FS,SYNC,
15.00222008,USB LS and FS,PID DATA0,,,,15.00359388,USB LS and FS,PID DATA1,,,,15.00497024,USB LS and FS,PID DATA0,,,,15.0063526,USB LS and FS,PID DATA1,
15.00222076,USB LS and FS,Byte 0x19,USB Configuration Descriptor Max power,,,15.00359456,USB LS and FS,Byte 0x00,Interface Descriptor,,,15.00497092,USB LS and FS,Byte 0x22,Mouse HID Descriptor,,,15.00635328,USB LS and FS,Byte 0x00,EndPoint Descriptor
15.00222144,USB LS and FS,Byte 0x09,Usb Interface Descriptor,,,15.0035952,USB LS and FS,Byte 0x00,,,,15.0049716,USB LS and FS,Byte 0x30,,,,15.00635396,USB LS and FS,Byte 0x32,
15.00222208,USB LS and FS,Byte 0x04,,,,15.00359588,USB LS and FS,Byte 0x09,Mouse HID Descriptor,,,15.00497224,USB LS and FS,Byte 0x00,Endpoint Descriptor,,,15.00635464,USB LS and FS,CRC OK 0x9A7F,
15.00222276,USB LS and FS,Byte 0x01,,,,15.00359656,USB LS and FS,Byte 0x21,,,,15.00497292,USB LS and FS,Byte 0x07,,,,15.00635604,USB LS and FS,EOP,
15.00222344,USB LS and FS,Byte 0x00,,,,15.0035972,USB LS and FS,Byte 0x00,,,,15.0049736,USB LS and FS,Byte 0x05,,,,15.00635684,USB LS and FS,SYNC,
15.00222408,USB LS and FS,Byte 0x01,,,,15.00359788,USB LS and FS,Byte 0x01,,,,15.00497424,USB LS and FS,Byte 0x83,,,,15.00635752,USB LS and FS,PID ACK,
15.00222476,USB LS and FS,Byte 0x03,,,,15.00359856,USB LS and FS,Byte 0x00,,,,15.00497492,USB LS and FS,Byte 0x03,,,,15.0063582,USB LS and FS,EOP,
15.00222544,USB LS and FS,Byte 0x00,,,,15.0035992,USB LS and FS,Byte 0x01,,,,15.0049756,USB LS and FS,Byte 0x40,,,,15.00648696,USB LS and FS,SYNC,Zero Data Out packet from Host to Device
15.00222608,USB LS and FS,CRC OK 0xE68A,,,,15.00359988,USB LS and FS,CRC OK 0x6A93,,,,15.00497624,USB LS and FS,CRC OK 0xD249,,,,15.00648764,USB LS and FS,PID OUT,
15.00222744,USB LS and FS,EOP,,,,15.00360124,USB LS and FS,EOP,,,,15.0049776,USB LS and FS,EOP,,,,15.00648828,USB LS and FS,Address=0x13 Endpoint=0x00,
15.0022282,USB LS and FS,SYNC,,,,15.003602,USB LS and FS,SYNC,,,,15.0049784,USB LS and FS,SYNC,,,,15.00648924,USB LS and FS,CRC OK 0x16,
15.00222884,USB LS and FS,PID ACK,,,,15.00360268,USB LS and FS,PID ACK,,,,15.00497904,USB LS and FS,PID ACK,,,,15.00648964,USB LS and FS,EOP,
15.00222952,USB LS and FS,EOP,,,,15.00360336,USB LS and FS,EOP,,,,15.00497972,USB LS and FS,EOP,,,,15.0064904,USB LS and FS,SYNC,Zero data in packet from Device to Host
,,,,,,,,,,,,,,,,,,15.00649104,USB LS and FS,PID DATA1,
,,,,,,,,,,,,,,,,,,15.00649172,USB LS and FS,CRC OK 0x0000,
,,,,,,,,,,,,,,,,,,15.00649308,USB LS and FS,EOP,
,,,,,,,,,,,,,,,,,,15.00649372,USB LS and FS,SYNC,
,,,,,,,,,,,,,,,,,,15.00649436,USB LS and FS,PID ACK,
,,,,,,,,,,,,,,,,,,15.00649504,USB LS and FS,EOP,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
