name,type,start_time,duration,value
USB LS and FS,v1frame,6.56434688,1.88E-07,Error packet
USB LS and FS,v1frame,6.56434706,2.50E-07,Error packet
USB LS and FS,v1frame,6.56434731,5.00E-07,Error packet
USB LS and FS,v1frame,6.56434781,2.50E-07,Error packet
USB LS and FS,v1frame,6.56434869,1.25E-07,Error packet
USB LS and FS,v1frame,6.56434881,8.13E-07,Error packet
USB LS and FS,v1frame,6.56434956,2.50E-07,Error packet
USB LS and FS,v1frame,6.56443637,2.75E-06,Error packet
USB LS and FS,v1frame,6.56443969,8.19E-06,Error packet
USB LS and FS,v1frame,6.56444825,1.50E-06,Error packet
USB LS and FS,v1frame,6.56451113,2.81E-06,Error packet
USB LS and FS,v1frame,6.5645145,1.38E-06,Error packet
USB LS and FS,v1frame,6.56534694,2.50E-07,Error packet
USB LS and FS,v1frame,6.56534719,2.50E-07,Error packet
USB LS and FS,v1frame,6.56534781,1.25E-07,Error packet
USB LS and FS,v1frame,6.56534881,1.25E-07,Error packet
USB LS and FS,v1frame,6.56534894,5.00E-07,Error packet
USB LS and FS,v1frame,6.56534944,3.75E-07,Error packet
USB LS and FS,v1frame,6.56574331,3.75E-07,Error packet
USB LS and FS,v1frame,6.56574369,5.00E-07,Error packet
USB LS and FS,v1frame,6.56574475,1.87E-07,Error packet
USB LS and FS,v1frame,6.56574506,1.25E-07,Error packet
USB LS and FS,v1frame,6.56574519,2.50E-07,Error packet
USB LS and FS,v1frame,6.56574544,2.50E-07,Error packet
USB LS and FS,v1frame,6.56574569,2.50E-07,Error packet
USB LS and FS,v1frame,6.56574594,1.88E-07,Error packet
USB LS and FS,v1frame,6.56574663,1.50E-06,Error packet
USB LS and FS,v1frame,6.56634706,2.75E-06,Error packet
USB LS and FS,v1frame,6.5669935,2.75E-06,Error packet
USB LS and FS,v1frame,6.56699675,1.38E-06,Error packet
USB LS and FS,v1frame,6.567347,2.81E-06,Error packet
USB LS and FS,v1frame,6.56824344,2.81E-06,Error packet
USB LS and FS,v1frame,6.56824669,1.50E-06,Error packet
USB LS and FS,v1frame,6.56834706,2.81E-06,Error packet
USB LS and FS,v1frame,6.56934719,2.50E-06,Error packet
USB LS and FS,v1frame,6.56949375,3.75E-07,Error packet
USB LS and FS,v1frame,6.56949413,5.00E-07,Error packet
USB LS and FS,v1frame,6.56949519,1.87E-07,Error packet
USB LS and FS,v1frame,6.5694955,1.25E-07,Error packet
USB LS and FS,v1frame,6.56949563,2.50E-07,Error packet
USB LS and FS,v1frame,6.56949588,2.50E-07,Error packet
USB LS and FS,v1frame,6.56949612,2.50E-07,Error packet
USB LS and FS,v1frame,6.56949637,1.88E-07,Error packet
USB LS and FS,v1frame,6.56949706,1.50E-06,Error packet
USB LS and FS,v1frame,6.57034712,2.81E-06,Error packet
USB LS and FS,v1frame,6.57074356,2.81E-06,Error packet
USB LS and FS,v1frame,6.57074681,5.00E-07,Error packet
USB LS and FS,v1frame,6.57134719,2.94E-06,Error packet
USB LS and FS,v1frame,6.57199363,1.88E-07,Error packet
USB LS and FS,v1frame,6.57199381,2.63E-06,Error packet
USB LS and FS,v1frame,6.571997,4.38E-07,Error packet
USB LS and FS,v1frame,6.57234725,2.81E-06,Error packet
USB LS and FS,v1frame,6.57324375,2.81E-06,Error packet
USB LS and FS,v1frame,6.57324694,1.50E-06,Error packet
USB LS and FS,v1frame,6.57334737,2.75E-06,Error packet
USB LS and FS,v1frame,6.57434731,2.81E-06,Error packet
USB LS and FS,v1frame,6.57449375,2.81E-06,Error packet
USB LS and FS,v1frame,6.574497,1.87E-07,Error packet
USB LS and FS,v1frame,6.57449719,1.31E-06,Error packet
USB LS and FS,v1frame,6.57534737,1.88E-07,Error packet
USB LS and FS,v1frame,6.57534756,2.50E-07,Error packet
USB LS and FS,v1frame,6.57534781,5.00E-07,Error packet
USB LS and FS,v1frame,6.57534831,2.50E-07,Error packet
USB LS and FS,v1frame,6.57534881,2.50E-07,Error packet
USB LS and FS,v1frame,6.57534906,2.50E-07,Error packet
USB LS and FS,v1frame,6.57534931,8.75E-07,Error packet
USB LS and FS,v1frame,6.57574394,2.81E-06,Error packet
USB LS and FS,v1frame,6.57574719,1.50E-06,Error packet
USB LS and FS,v1frame,6.57634744,2.50E-07,Error packet
USB LS and FS,v1frame,6.57634769,2.50E-07,Error packet
USB LS and FS,v1frame,6.57634831,1.25E-07,Error packet
USB LS and FS,v1frame,6.57634906,1.25E-07,Error packet
USB LS and FS,v1frame,6.57634931,1.25E-07,Error packet
USB LS and FS,v1frame,6.57635,2.50E-07,Error packet
USB LS and FS,v1frame,6.57699394,2.75E-06,Error packet
USB LS and FS,v1frame,6.57699725,1.38E-06,Error packet
USB LS and FS,v1frame,6.57734744,1.25E-07,Error packet
USB LS and FS,v1frame,6.57734756,2.50E-07,Error packet
USB LS and FS,v1frame,6.57734781,2.06E-06,Error packet
USB LS and FS,v1frame,6.57734981,4.38E-07,Error packet
USB LS and FS,v1frame,6.57824388,1.25E-07,Error packet
USB LS and FS,v1frame,6.578244,2.50E-07,Error packet
USB LS and FS,v1frame,6.57824425,5.00E-07,Error packet
USB LS and FS,v1frame,6.57824531,1.88E-07,Error packet
USB LS and FS,v1frame,6.57824563,1.25E-07,Error packet
USB LS and FS,v1frame,6.57824575,2.50E-07,Error packet
USB LS and FS,v1frame,6.578246,2.50E-07,Error packet
USB LS and FS,v1frame,6.57824625,2.50E-07,Error packet
USB LS and FS,v1frame,6.5782465,1.88E-07,Error packet
USB LS and FS,v1frame,6.57824719,3.75E-07,Error packet
USB LS and FS,v1frame,6.57824756,1.13E-06,Error packet
USB LS and FS,v1frame,6.5783475,1.88E-07,Error packet
USB LS and FS,v1frame,6.57834769,2.50E-07,Error packet
USB LS and FS,v1frame,6.57834794,5.00E-07,Error packet
USB LS and FS,v1frame,6.57834844,2.50E-07,Error packet
USB LS and FS,v1frame,6.57834881,1.25E-07,Error packet
USB LS and FS,v1frame,6.57834919,2.50E-07,Error packet
USB LS and FS,v1frame,6.57834944,8.75E-07,Error packet
USB LS and FS,v1frame,6.57934756,2.81E-06,Error packet
USB LS and FS,v1frame,6.57949413,2.81E-06,Error packet
USB LS and FS,v1frame,6.57949744,1.44E-06,Error packet
USB LS and FS,v1frame,6.58034769,2.75E-06,Error packet
USB LS and FS,v1frame,6.58074438,2.75E-06,Error packet
USB LS and FS,v1frame,6.58074756,5.00E-07,Error packet
USB LS and FS,v1frame,6.58074881,1.88E-07,Error packet
USB LS and FS,v1frame,6.58134763,2.81E-06,Error packet
USB LS and FS,v1frame,6.58199412,2.81E-06,Error packet
USB LS and FS,v1frame,6.58199744,1.44E-06,Error packet
USB LS and FS,v1frame,6.58234769,2.81E-06,Error packet
USB LS and FS,v1frame,6.58324413,2.81E-06,Error packet
USB LS and FS,v1frame,6.58324738,1.88E-07,Error packet
USB LS and FS,v1frame,6.58324756,1.31E-06,Error packet
USB LS and FS,v1frame,6.58334781,2.75E-06,Error packet
USB LS and FS,v1frame,6.58434787,2.75E-06,Error packet
USB LS and FS,v1frame,6.58449419,1.88E-07,Error packet
USB LS and FS,v1frame,6.58449438,1.75E-06,Error packet
USB LS and FS,v1frame,6.58449613,8.75E-07,Error packet
USB LS and FS,v1frame,6.5844975,1.88E-07,Error packet
USB LS and FS,v1frame,6.58449769,1.31E-06,Error packet
USB LS and FS,v1frame,6.58534781,2.81E-06,Error packet
USB LS and FS,v1frame,6.5857445,2.81E-06,Error packet
USB LS and FS,v1frame,6.58574769,1.50E-06,Error packet
USB LS and FS,v1frame,6.58634788,2.81E-06,Error packet
USB LS and FS,v1frame,6.58699437,2.81E-06,Error packet
USB LS and FS,v1frame,6.58699769,5.00E-07,Error packet
USB LS and FS,v1frame,6.58699894,1.88E-07,Error packet
USB LS and FS,v1frame,6.587348,5.62E-07,SYNC
USB LS and FS,v1frame,6.58734856,6.88E-07,PID SOF
USB LS and FS,v1frame,6.58734925,8.75E-07,Frame # 0x655
USB LS and FS,v1frame,6.58735013,4.37E-07,CRC OK 0x13
USB LS and FS,v1frame,6.58735056,2.50E-07,EOP
USB LS and FS,v1frame,6.58824438,2.50E-07,Error packet
USB LS and FS,v1frame,6.58824462,2.50E-07,Error packet
USB LS and FS,v1frame,6.58824513,2.50E-07,Error packet
USB LS and FS,v1frame,6.58824575,1.25E-07,Error packet
USB LS and FS,v1frame,6.58824588,2.50E-07,Error packet
USB LS and FS,v1frame,6.58824613,2.50E-07,Error packet
USB LS and FS,v1frame,6.58824637,5.00E-07,Error packet
USB LS and FS,v1frame,6.58824688,3.12E-07,Error packet
USB LS and FS,v1frame,6.58824763,1.88E-07,Error packet
USB LS and FS,v1frame,6.58824781,1.31E-06,Error packet
USB LS and FS,v1frame,6.58834794,1.25E-07,Error packet
USB LS and FS,v1frame,6.58834806,2.50E-07,Error packet
USB LS and FS,v1frame,6.58834831,1.00E-06,Error packet
USB LS and FS,v1frame,6.58834987,9.38E-07,Error packet
USB LS and FS,v1frame,6.589348,1.88E-07,Error packet
USB LS and FS,v1frame,6.58934819,2.50E-07,Error packet
USB LS and FS,v1frame,6.58934844,5.00E-07,Error packet
USB LS and FS,v1frame,6.58934894,2.50E-07,Error packet
USB LS and FS,v1frame,6.58934994,8.75E-07,Error packet
USB LS and FS,v1frame,6.5894945,2.75E-06,Error packet
USB LS and FS,v1frame,6.58949769,2.50E-07,Error packet
USB LS and FS,v1frame,6.58949794,2.50E-07,Error packet
USB LS and FS,v1frame,6.58949894,1.87E-07,Error packet
USB LS and FS,v1frame,6.59034806,2.50E-07,Error packet
USB LS and FS,v1frame,6.59034831,2.50E-07,Error packet
USB LS and FS,v1frame,6.59034894,1.25E-07,Error packet
USB LS and FS,v1frame,6.59034937,1.88E-07,Error packet
USB LS and FS,v1frame,6.59034994,1.25E-07,Error packet
USB LS and FS,v1frame,6.59035056,3.12E-07,Error packet
USB LS and FS,v1frame,6.59074575,2.81E-06,Error packet
USB LS and FS,v1frame,6.59074906,5.00E-07,Error packet
USB LS and FS,v1frame,6.59134806,3.75E-07,Error packet
USB LS and FS,v1frame,6.59134844,2.44E-06,Error packet
USB LS and FS,v1frame,6.59199481,2.50E-07,Error packet
USB LS and FS,v1frame,6.59199506,2.50E-07,Error packet
USB LS and FS,v1frame,6.59199556,2.50E-07,Error packet
USB LS and FS,v1frame,6.59199619,1.25E-07,Error packet
USB LS and FS,v1frame,6.59199631,2.50E-07,Error packet
USB LS and FS,v1frame,6.59199656,2.50E-07,Error packet
USB LS and FS,v1frame,6.59199681,5.00E-07,Error packet
USB LS and FS,v1frame,6.59199731,3.12E-07,Error packet
USB LS and FS,v1frame,6.59199806,3.75E-07,Error packet
USB LS and FS,v1frame,6.59199844,5.00E-07,Error packet
USB LS and FS,v1frame,6.59234813,2.81E-06,Error packet
USB LS and FS,v1frame,6.59324456,2.81E-06,Error packet
USB LS and FS,v1frame,6.59324788,1.88E-07,Error packet
USB LS and FS,v1frame,6.59324806,2.50E-07,Error packet
USB LS and FS,v1frame,6.59324831,1.06E-06,Error packet
USB LS and FS,v1frame,6.59334819,2.81E-06,Error packet
USB LS and FS,v1frame,6.59434831,2.75E-06,Error packet
USB LS and FS,v1frame,6.59449463,2.81E-06,Error packet
USB LS and FS,v1frame,6.59449794,5.00E-07,Error packet
USB LS and FS,v1frame,6.59449919,1.87E-07,Error packet
USB LS and FS,v1frame,6.59534825,2.81E-06,Error packet
USB LS and FS,v1frame,6.59574488,2.81E-06,Error packet
USB LS and FS,v1frame,6.59574813,1.88E-07,Error packet
USB LS and FS,v1frame,6.59574831,2.50E-07,Error packet
USB LS and FS,v1frame,6.59574856,1.06E-06,Error packet
USB LS and FS,v1frame,6.59634831,2.81E-06,Error packet
USB LS and FS,v1frame,6.59699488,1.25E-07,Error packet
USB LS and FS,v1frame,6.596995,2.50E-07,Error packet
USB LS and FS,v1frame,6.59699525,5.00E-07,Error packet
USB LS and FS,v1frame,6.59699631,1.88E-07,Error packet
USB LS and FS,v1frame,6.59699663,1.25E-07,Error packet
USB LS and FS,v1frame,6.59699675,2.50E-07,Error packet
USB LS and FS,v1frame,6.596997,2.50E-07,Error packet
USB LS and FS,v1frame,6.59699725,2.50E-07,Error packet
USB LS and FS,v1frame,6.5969975,2.50E-07,Error packet
USB LS and FS,v1frame,6.59699819,5.00E-07,Error packet
USB LS and FS,v1frame,6.59699944,1.88E-07,Error packet
USB LS and FS,v1frame,6.59734838,1.75E-06,Error packet
USB LS and FS,v1frame,6.59735013,1.13E-06,Error packet
USB LS and FS,v1frame,6.59824487,2.81E-06,Error packet
USB LS and FS,v1frame,6.59824812,1.88E-07,Error packet
USB LS and FS,v1frame,6.59824831,1.31E-06,Error packet
USB LS and FS,v1frame,6.5983485,2.75E-06,Error packet
USB LS and FS,v1frame,6.59934844,2.81E-06,Error packet
USB LS and FS,v1frame,6.59949494,2.75E-06,Error packet
USB LS and FS,v1frame,6.59949819,5.00E-07,Error packet
USB LS and FS,v1frame,6.59949944,1.88E-07,Error packet
USB LS and FS,v1frame,6.6003485,2.81E-06,Error packet
USB LS and FS,v1frame,6.60074494,2.50E-07,Error packet
USB LS and FS,v1frame,6.60074519,2.50E-07,Error packet
USB LS and FS,v1frame,6.60074569,2.50E-07,Error packet
USB LS and FS,v1frame,6.60074631,1.25E-07,Error packet
USB LS and FS,v1frame,6.60074644,2.50E-07,Error packet
USB LS and FS,v1frame,6.60074669,2.50E-07,Error packet
USB LS and FS,v1frame,6.60074694,5.00E-07,Error packet
USB LS and FS,v1frame,6.60074744,3.13E-07,Error packet
USB LS and FS,v1frame,6.60074819,1.25E-07,Error packet
USB LS and FS,v1frame,6.60074831,2.50E-07,Error packet
USB LS and FS,v1frame,6.60074856,5.00E-07,Error packet
USB LS and FS,v1frame,6.60134856,2.50E-07,Error packet
USB LS and FS,v1frame,6.60134881,2.50E-07,Error packet
USB LS and FS,v1frame,6.60134944,1.25E-07,Error packet
USB LS and FS,v1frame,6.60135006,5.00E-07,Error packet
USB LS and FS,v1frame,6.60135112,2.50E-07,Error packet
USB LS and FS,v1frame,6.60199506,2.75E-06,Error packet
USB LS and FS,v1frame,6.60199819,2.50E-07,Error packet
USB LS and FS,v1frame,6.60199844,2.50E-07,Error packet
USB LS and FS,v1frame,6.60199944,1.88E-07,Error packet
USB LS and FS,v1frame,6.60234856,1.25E-07,Error packet
USB LS and FS,v1frame,6.60234869,2.50E-07,Error packet
USB LS and FS,v1frame,6.60234894,1.00E-06,Error packet
