Time [s],PID,Address,Endpoint,Frame #,Data,CRC
6.469342625,Parsing error,,,,,
6.469344375,Parsing error,,,,,
6.47034275,Parsing error,,,,,
6.471342688,Parsing error,,,,,
6.47234275,Parsing error,,,,,
6.473342813,Parsing error,,,,,
6.474342813,Parsing error,,,,,
6.474342938,Parsing error,,,,,
6.475342875,Parsing error,,,,,
6.475343063,Parsing error,,,,,
6.475343313,Parsing error,,,,,
6.475343813,Parsing error,,,,,
6.475344438,Parsing error,,,,,
6.475345375,Parsing error,,,,,
6.476342938,Parsing error,,,,,
6.476343188,Parsing error,,,,,
6.476343813,Parsing error,,,,,
6.4763445,Parsing error,,,,,
6.477343063,Parsing error,,,,,
6.478343,Parsing error,,,,,
6.479343063,Parsing error,,,,,
6.480343188,Parsing error,,,,,
6.48134325,SOF,,,0x5EB,,0x19
6.482343188,Parsing error,,,,,
6.48334325,Parsing error,,,,,
6.484343375,Parsing error,,,,,
6.485343313,Parsing error,,,,,
6.486343375,Parsing error,,,,,
6.486343563,Parsing error,,,,,
6.486343813,Parsing error,,,,,
6.486344313,Parsing error,,,,,
6.486344688,Parsing error,,,,,
6.486344813,Parsing error,,,,,
6.486345813,Parsing error,,,,,
6.487343438,Parsing error,,,,,
6.487343688,Parsing error,,,,,
6.487344313,Parsing error,,,,,
6.487344813,Parsing error,,,,,
6.487344938,Parsing error,,,,,
6.487345688,Parsing error,,,,,
6.488343438,Parsing error,,,,,
6.488343563,Parsing error,,,,,
6.488343813,Parsing error,,,,,
6.488344938,Parsing error,,,,,
6.488345688,Parsing error,,,,,
6.4893435,Parsing error,,,,,
6.489343688,Parsing error,,,,,
6.489343938,Parsing error,,,,,
6.489344438,Parsing error,,,,,
6.489345,Parsing error,,,,,
6.490343563,Parsing error,,,,,
6.491343688,SOF,,,0x5F5,,0x1B
6.492343625,Parsing error,,,,,
6.493343688,Parsing error,,,,,
6.49434375,Parsing error,,,,,
6.495343875,Parsing error,,,,,
6.495345875,Parsing error,,,,,
6.496343813,Parsing error,,,,,
6.497343875,Parsing error,,,,,
6.498343938,Parsing error,,,,,
6.499343938,Parsing error,,,,,
6.499344063,SOF,,,0x5FD,,0x15
6.500344,Parsing error,,,,,
6.500344188,Parsing error,,,,,
6.500344438,Parsing error,,,,,
6.500344938,Parsing error,,,,,
6.501344063,Parsing error,,,,,
6.501344313,Parsing error,,,,,
6.501344938,Parsing error,,,,,
6.501346563,Parsing error,,,,,
6.502344063,Parsing error,,,,,
6.502344188,Parsing error,,,,,
6.502344438,Parsing error,,,,,
6.502345438,Parsing error,,,,,
6.502345688,Parsing error,,,,,
6.502345938,Parsing error,,,,,
6.503344125,Parsing error,,,,,
6.504344188,Parsing error,,,,,
6.505344313,Parsing error,,,,,
6.50634425,Parsing error,,,,,
6.507344313,Parsing error,,,,,
6.508344375,Parsing error,,,,,
6.5093445,Parsing error,,,,,
6.510344438,Parsing error,,,,,
6.5113445,Parsing error,,,,,
6.511344688,Parsing error,,,,,
6.511344938,Parsing error,,,,,
6.511345438,Parsing error,,,,,
6.511345938,Parsing error,,,,,
6.511346188,Parsing error,,,,,
6.511346438,Parsing error,,,,,
6.512344563,Parsing error,,,,,
6.512344813,Parsing error,,,,,
6.512345438,Parsing error,,,,,
6.512346188,Parsing error,,,,,
6.512346313,Parsing error,,,,,
6.512347063,Parsing error,,,,,
6.513344563,Parsing error,,,,,
6.513344688,Parsing error,,,,,
6.513344938,Parsing error,,,,,
6.513346438,Parsing error,,,,,
6.514344625,Parsing error,,,,,
6.514344813,Parsing error,,,,,
6.514345063,Parsing error,,,,,
6.514345563,Parsing error,,,,,
6.514345938,Parsing error,,,,,
6.514346313,Parsing error,,,,,
6.514346563,Parsing error,,,,,
6.515344688,Parsing error,,,,,
6.515344938,Parsing error,,,,,
6.515345563,Parsing error,,,,,
6.515346313,Parsing error,,,,,
6.515346438,Parsing error,,,,,
6.51534725,Parsing error,,,,,
6.516344813,Parsing error,,,,,
6.51734475,Parsing error,,,,,
6.518344813,Parsing error,,,,,
6.519344938,Parsing error,,,,,
6.520345,Parsing error,,,,,
6.521344938,Parsing error,,,,,
6.522345,Parsing error,,,,,
6.523345125,Parsing error,,,,,
6.524345063,Parsing error,,,,,
6.524345188,Parsing error,,,,,
6.524345438,Parsing error,,,,,
6.524346813,Parsing error,,,,,
6.524346938,Parsing error,,,,,
6.524347438,Parsing error,,,,,
6.525345125,Parsing error,,,,,
6.525345313,Parsing error,,,,,
6.525345563,Parsing error,,,,,
6.525346063,Parsing error,,,,,
6.525346875,Parsing error,,,,,
6.525347063,Parsing error,,,,,
6.525347813,Parsing error,,,,,
6.526345188,Parsing error,,,,,
6.526345438,Parsing error,,,,,
6.526346063,Parsing error,,,,,
6.5263465,Parsing error,,,,,
6.526346938,Parsing error,,,,,
6.52634775,Parsing error,,,,,
6.527345188,Parsing error,,,,,
6.527345313,Parsing error,,,,,
6.527345563,Parsing error,,,,,
6.527347063,Parsing error,,,,,
6.527347563,Parsing error,,,,,
6.52834525,Parsing error,,,,,
6.529345313,Parsing error,,,,,
6.53004825,Parsing error,,,,,
6.530051563,Parsing error,,,,,
6.530060313,ACK,,,,,
6.530146813,Parsing error,,,,,
6.530150125,Parsing error,,,,,
6.530345438,Parsing error,,,,,
6.531345375,Parsing error,,,,,
6.531366813,Parsing error,,,,,
6.531370188,Parsing error,,,,,
6.531373563,Parsing error,,,,,
6.531374375,Parsing error,,,,,
6.532345438,Parsing error,,,,,
6.5333455,Parsing error,,,,,
6.53334725,Parsing error,,,,,
6.534345625,Parsing error,,,,,
6.535345563,Parsing error,,,,,
6.536345625,Parsing error,,,,,
6.537345688,Parsing error,,,,,
6.537345938,Parsing error,,,,,
6.538345688,Parsing error,,,,,
6.538345813,Parsing error,,,,,
6.538346063,Parsing error,,,,,
6.538347063,Parsing error,,,,,
6.538347313,Parsing error,,,,,
6.538347563,Parsing error,,,,,
6.538348313,Parsing error,,,,,
6.53934575,Parsing error,,,,,
6.539345938,Parsing error,,,,,
6.539346188,Parsing error,,,,,
6.539346688,Parsing error,,,,,
6.539347313,Parsing error,,,,,
6.539347563,Parsing error,,,,,
6.539347688,Parsing error,,,,,
6.540345813,Parsing error,,,,,
6.540346063,Parsing error,,,,,
6.540346688,Parsing error,,,,,
6.540347375,Parsing error,,,,,
6.541345938,Parsing error,,,,,
6.542345875,Parsing error,,,,,
6.543345938,Parsing error,,,,,
6.544346063,Parsing error,,,,,
6.545346125,SOF,,,0x62B,,0x0B
6.546346063,Parsing error,,,,,
6.547346125,Parsing error,,,,,
6.54834625,SOF,,,0x62E,,0x13
6.54934625,Parsing error,,,,,
6.549347125,Parsing error,,,,,
6.55034625,Parsing error,,,,,
6.550346438,Parsing error,,,,,
6.550346688,Parsing error,,,,,
6.550347188,Parsing error,,,,,
6.550347563,Parsing error,,,,,
6.550347688,Parsing error,,,,,
6.550348188,Parsing error,,,,,
6.550348688,Parsing error,,,,,
6.551346313,Parsing error,,,,,
6.551346563,Parsing error,,,,,
6.551347188,Parsing error,,,,,
6.551347688,Parsing error,,,,,
6.551347813,Parsing error,,,,,
6.551348875,Parsing error,,,,,
6.552346313,Parsing error,,,,,
6.552346438,Parsing error,,,,,
6.552346688,Parsing error,,,,,
6.552347813,Parsing error,,,,,
6.552348188,Parsing error,,,,,
6.552348938,Parsing error,,,,,
6.553346375,Parsing error,,,,,
6.553346563,Parsing error,,,,,
6.553347313,Parsing error,,,,,
6.553347875,Parsing error,,,,,
6.553348313,Parsing error,,,,,
6.554346438,Parsing error,,,,,
6.555346563,Parsing error,,,,,
6.5563465,Parsing error,,,,,
6.557346563,Parsing error,,,,,
6.558346625,Parsing error,,,,,
6.55934675,Parsing error,,,,,
6.560025813,Parsing error,,,,,
6.560026188,Parsing error,,,,,
6.560027938,Parsing error,,,,,
6.560028188,Parsing error,,,,,
6.56002925,Parsing error,,,,,
6.560029438,Parsing error,,,,,
6.560030188,Parsing error,,,,,
6.560031938,Parsing error,,,,,
6.560032188,Parsing error,,,,,
6.560032438,Parsing error,,,,,
6.560032688,Parsing error,,,,,
6.560032938,Parsing error,,,,,
6.560033188,Parsing error,,,,,
6.560033438,Parsing error,,,,,
6.560033688,Parsing error,,,,,
6.560034188,Parsing error,,,,,
6.560035188,Parsing error,,,,,
6.560035438,Parsing error,,,,,
6.560035688,Parsing error,,,,,
6.560036188,Parsing error,,,,,
6.560037875,Parsing error,,,,,
6.56003825,Parsing error,,,,,
6.56003875,Parsing error,,,,,
6.560138,Parsing error,,,,,
6.560138375,Parsing error,,,,,
6.560139438,Parsing error,,,,,
6.560140125,Parsing error,,,,,
6.560140375,Parsing error,,,,,
6.560141313,Parsing error,,,,,
6.560346688,Parsing error,,,,,
6.56134675,Parsing error,,,,,
6.561368125,Parsing error,,,,,
6.561371438,Parsing error,,,,,
6.561380188,Parsing error,,,,,
6.561513375,Parsing error,,,,,
6.561516688,Parsing error,,,,,
6.562346813,Parsing error,,,,,
6.562347063,Parsing error,,,,,
6.562347688,Parsing error,,,,,
6.562348125,Parsing error,,,,,
6.562349063,Parsing error,,,,,
6.562743188,Parsing error,,,,,
6.562743313,Parsing error,,,,,
6.562743563,Parsing error,,,,,
6.562744625,Parsing error,,,,,
6.562744938,Parsing error,,,,,
6.562745063,Parsing error,,,,,
6.562745313,Parsing error,,,,,
6.562745563,Parsing error,,,,,
6.562745813,Parsing error,,,,,
6.562746563,Parsing error,,,,,
6.562755375,ACK,,,,,
6.562886063,Parsing error,,,,,
6.562889188,Parsing error,,,,,
6.562889313,Parsing error,,,,,
6.563346813,Parsing error,,,,,
6.563346938,Parsing error,,,,,
6.563347188,Parsing error,,,,,
6.563348688,Parsing error,,,,,
6.563349438,Parsing error,,,,,
6.56411825,Parsing error,,,,,
6.5641215,Parsing error,,,,,
6.564124688,Parsing error,,,,,
6.564126438,Parsing error,,,,,
6.564126688,Parsing error,,,,,
6.56412725,Parsing error,,,,,
6.564261563,Parsing error,,,,,
6.564264875,Parsing error,,,,,
6.564268063,Parsing error,,,,,
6.564268188,Parsing error,,,,,
6.564268438,Parsing error,,,,,
6.564268938,Parsing error,,,,,
6.564346875,Parsing error,,,,,
6.564347063,Parsing error,,,,,
6.564347313,Parsing error,,,,,
6.564347813,Parsing error,,,,,
6.564348688,Parsing error,,,,,
6.564348813,Parsing error,,,,,
6.564349563,Parsing error,,,,,
6.564436375,Parsing error,,,,,
6.564439688,Parsing error,,,,,
6.56444825,Parsing error,,,,,
6.564511125,Parsing error,,,,,
6.5645145,Parsing error,,,,,
6.565346938,Parsing error,,,,,
6.565347188,Parsing error,,,,,
6.565347813,Parsing error,,,,,
6.565348813,Parsing error,,,,,
6.565348938,Parsing error,,,,,
6.565349438,Parsing error,,,,,
6.565743313,Parsing error,,,,,
6.565743688,Parsing error,,,,,
6.56574475,Parsing error,,,,,
6.565745063,Parsing error,,,,,
6.565745188,Parsing error,,,,,
6.565745438,Parsing error,,,,,
6.565745688,Parsing error,,,,,
6.565745938,Parsing error,,,,,
6.565746625,Parsing error,,,,,
6.566347063,Parsing error,,,,,
6.5669935,Parsing error,,,,,
6.56699675,Parsing error,,,,,
6.567347,Parsing error,,,,,
6.568243438,Parsing error,,,,,
6.568246688,Parsing error,,,,,
6.568347063,Parsing error,,,,,
6.569347188,Parsing error,,,,,
6.56949375,Parsing error,,,,,
6.569494125,Parsing error,,,,,
6.569495188,Parsing error,,,,,
6.5694955,Parsing error,,,,,
6.569495625,Parsing error,,,,,
6.569495875,Parsing error,,,,,
6.569496125,Parsing error,,,,,
6.569496375,Parsing error,,,,,
6.569497063,Parsing error,,,,,
6.570347125,Parsing error,,,,,
6.570743563,Parsing error,,,,,
6.570746813,Parsing error,,,,,
6.571347188,Parsing error,,,,,
6.571993625,Parsing error,,,,,
6.571993813,Parsing error,,,,,
6.571997,Parsing error,,,,,
6.57234725,Parsing error,,,,,
6.57324375,Parsing error,,,,,
6.573246938,Parsing error,,,,,
6.573347375,Parsing error,,,,,
6.574347313,Parsing error,,,,,
6.57449375,Parsing error,,,,,
6.574497,Parsing error,,,,,
6.574497188,Parsing error,,,,,
6.575347375,Parsing error,,,,,
6.575347563,Parsing error,,,,,
6.575347813,Parsing error,,,,,
6.575348313,Parsing error,,,,,
6.575348813,Parsing error,,,,,
6.575349063,Parsing error,,,,,
6.575349313,Parsing error,,,,,
6.575743938,Parsing error,,,,,
6.575747188,Parsing error,,,,,
6.576347438,Parsing error,,,,,
6.576347688,Parsing error,,,,,
6.576348313,Parsing error,,,,,
6.576349063,Parsing error,,,,,
6.576349313,Parsing error,,,,,
6.57635,Parsing error,,,,,
6.576993938,Parsing error,,,,,
6.57699725,Parsing error,,,,,
6.577347438,Parsing error,,,,,
6.577347563,Parsing error,,,,,
6.577347813,Parsing error,,,,,
6.577349813,Parsing error,,,,,
6.578243875,Parsing error,,,,,
6.578244,Parsing error,,,,,
6.57824425,Parsing error,,,,,
6.578245313,Parsing error,,,,,
6.578245625,Parsing error,,,,,
6.57824575,Parsing error,,,,,
6.578246,Parsing error,,,,,
6.57824625,Parsing error,,,,,
6.5782465,Parsing error,,,,,
6.578247188,Parsing error,,,,,
6.578247563,Parsing error,,,,,
6.5783475,Parsing error,,,,,
6.578347688,Parsing error,,,,,
6.578347938,Parsing error,,,,,
6.578348438,Parsing error,,,,,
6.578348813,Parsing error,,,,,
6.578349188,Parsing error,,,,,
6.578349438,Parsing error,,,,,
6.579347563,Parsing error,,,,,
6.579494125,Parsing error,,,,,
6.579497438,Parsing error,,,,,
6.580347688,Parsing error,,,,,
6.580744375,Parsing error,,,,,
6.580747563,Parsing error,,,,,
6.580748813,Parsing error,,,,,
6.581347625,Parsing error,,,,,
6.581994125,Parsing error,,,,,
6.581997438,Parsing error,,,,,
6.582347688,Parsing error,,,,,
6.583244125,Parsing error,,,,,
6.583247375,Parsing error,,,,,
6.583247563,Parsing error,,,,,
6.583347813,Parsing error,,,,,
6.584347875,Parsing error,,,,,
6.584494188,Parsing error,,,,,
6.584494375,Parsing error,,,,,
6.584496125,Parsing error,,,,,
6.5844975,Parsing error,,,,,
6.584497688,Parsing error,,,,,
6.585347813,Parsing error,,,,,
6.5857445,Parsing error,,,,,
6.585747688,Parsing error,,,,,
6.586347875,Parsing error,,,,,
6.586994375,Parsing error,,,,,
6.586997688,Parsing error,,,,,
6.586998938,Parsing error,,,,,
6.587348,SOF,,,0x655,,0x13
6.588244375,Parsing error,,,,,
6.588244625,Parsing error,,,,,
6.588245125,Parsing error,,,,,
6.58824575,Parsing error,,,,,
6.588245875,Parsing error,,,,,
6.588246125,Parsing error,,,,,
6.588246375,Parsing error,,,,,
6.588246875,Parsing error,,,,,
6.588247625,Parsing error,,,,,
6.588247813,Parsing error,,,,,
